Date;Open;High;Low;Close;Adj Close;Volume
28/08/2003;380893;396786;380893;396250;335893;319625600
29/08/2003;396429;408036;393750;403750;342251;263155200
02/09/2003;404643;408929;400000;408036;345884;242132800
03/09/2003;407143;416429;406429;409821;347397;268828000
04/09/2003;413571;415179;406607;407679;345581;199780000
05/09/2003;405893;413393;400179;401786;340586;240133600
08/09/2003;401429;406964;401250;406071;344218;167244000
09/09/2003;402321;404821;395000;399464;338617;180370400
10/09/2003;397321;403750;394821;396071;335741;224890400
11/09/2003;397321;406964;394643;402857;341494;213684800
12/09/2003;401964;413214;398393;412500;349668;179989600
15/09/2003;407321;408929;395000;396607;336196;226844800
16/09/2003;396607;405179;396429;399286;338467;269007200
17/09/2003;399464;399643;390179;395000;334834;289396800
18/09/2003;394643;410536;391964;408571;346337;252907200
19/09/2003;408571;411607;400536;403214;341796;205956800
22/09/2003;396071;401786;391429;394286;334228;179821600
23/09/2003;393214;401071;390714;400536;339526;132451200
24/09/2003;396607;398393;376429;380714;322724;301285600
25/09/2003;381071;381607;361607;364821;309251;574380800
26/09/2003;362500;387500;359821;369464;313187;347250400
29/09/2003;383750;386964;368750;380357;322421;365702400
30/09/2003;376607;378929;365000;370000;313642;285426400
01/10/2003;369821;376786;360536;371250;314701;236112800
02/10/2003;371429;371429;362143;367321;311371;204058400
03/10/2003;374821;390357;372857;387321;328324;299600000
06/10/2003;386964;398750;385357;398036;337407;268329600
07/10/2003;393750;418036;391250;414643;351484;418174400
08/10/2003;415179;420357;405893;411786;349063;428668800
09/10/2003;416071;422679;406964;418750;354966;347748800
10/10/2003;419643;425179;417321;422857;358447;174837600
13/10/2003;423750;435893;423571;434821;368589;279865600
14/10/2003;434286;441786;431964;438393;371617;275419200
15/10/2003;443750;446607;438929;443214;375704;610103200
16/10/2003;425000;425714;400179;415179;351939;975682400
17/10/2003;417500;419464;400536;406250;344370;359811200
20/10/2003;403571;416786;399643;414643;351484;279132000
21/10/2003;416250;417857;406250;413929;350879;176461600
22/10/2003;409643;414286;405000;406429;344522;161599200
23/10/2003;405893;413393;403393;410536;348003;165211200
24/10/2003;402857;408036;396964;403571;342099;219856000
27/10/2003;406250;408750;401607;403571;342099;162013600
28/10/2003;402857;424464;400000;423571;359053;251714400
29/10/2003;419821;426786;416786;423036;358599;267080800
30/10/2003;428393;428571;408393;412321;349516;260556800
31/10/2003;416071;416964;406786;408750;346489;218153600
03/11/2003;407679;416071;406786;413393;350425;302842400
04/11/2003;411964;412500;403393;409107;346792;249233600
05/11/2003;407500;413036;401250;411250;348608;322470400
06/11/2003;409107;413393;404464;412857;349970;397073600
07/11/2003;414107;415000;400893;401786;340586;210145600
10/11/2003;400893;404464;390000;391071;331503;234276000
11/11/2003;391071;393214;383571;384643;326054;215073600
12/11/2003;383571;405714;383571;398750;338012;300003200
13/11/2003;394107;402857;391429;400357;339374;212772000
14/11/2003;401429;403750;380000;383214;324843;237048000
17/11/2003;381250;381607;374107;377321;319847;228256000
18/11/2003;378750;381071;363393;364464;308949;267192800
